Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
James Earl Brown III,Founder & General Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recg2D7RhH0OzgVTh"":[""Venture Capital""]},""foreignRowIdOrder"":[""recg2D7RhH0OzgVTh""]}","Austin, TX",https://www.crunchbase.com/person/james-earl-brown-iii,https://www.linkedin.com/in/james-earl-brown-iii-3a54162b/
Shruti Gandhi,Founder & Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""rec5LK7Yg4UATHnxJ"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec5LK7Yg4UATHnxJ""]}","San Francisco, CA",https://www.crunchbase.com/person/shruti-gandhi,http://www.linkedin.com/in/shrutigandhi
Tara Butler,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""rec6HzlmtwRakSqsJ"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec6HzlmtwRakSqsJ""]}","St Louis, MO",https://www.crunchbase.com/person/tara-butler,http://www.linkedin.com/pub/tara-butler/8/a89/644
Jennifer Fonstad,Co-founder & General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recVbUnfX5q7OCXDW"":[""Venture Capital""]},""foreignRowIdOrder"":[""recVbUnfX5q7OCXDW""]}","Atherton, CA",https://www.crunchbase.com/person/jennifer-scott-fonstad,http://www.linkedin.com/pub/jennifer-scott-fonstad/50/508/615
Lauren Kolodny,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recVbUnfX5q7OCXDW"":[""Venture Capital""]},""foreignRowIdOrder"":[""recVbUnfX5q7OCXDW""]}","San Francisco, CA",https://www.crunchbase.com/person/lauren-kolodny,https://www.linkedin.com/in/laurenkolodny
Theresia Gouw,Co-Founder & General Partner,Female,"[object Object], [object Object]","{""valuesByForeignRowId"":{""recyRZPDyRts2G9fs"":[""Angel Network""],""recVbUnfX5q7OCXDW"":[""Venture Capital""]},""foreignRowIdOrder"":[""recyRZPDyRts2G9fs"",""recVbUnfX5q7OCXDW""]}","San Francisco, CA",https://www.crunchbase.com/person/theresia-gouw,https://www.linkedin.com/in/theresiagouw
Andrea Zulberti,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",https://www.crunchbase.com/person/andrea-zulberti,
Anna Ewing,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Arlene Harris,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Barbara Clarke,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","Boston, MA",https://www.crunchbase.com/person/barbara-clarke,
Christine Guo,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Corinne Nevinny,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Danielle Hughes,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Danielle Leone,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Dominique Valentiny,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Elizabeth Crowell,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","Brooklyn, NY",https://www.crunchbase.com/person/elizabeth-crowell,
Elizabeth Scharpf,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Janis Landry-Lane,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Jeanne Sullivan,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Jill Greenwald,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
June Fallon Payne,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Karen Drexler,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",https://www.crunchbase.com/person/karen-drexler,
Karen Rogge,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
Kathy Parks,Angel,Female,[object Object],"{""valuesByForeignRowId"":{""recqNzSc0rJJcYK9Q"":[""Angel Network""]},""foreignRowIdOrder"":[""recqNzSc0rJJcYK9Q""]}","San Francisco, CA",,
