VC Firm,Stage,New meetings?,New terms sheets?,Areas of Interest,Check Size,Lead/Co-invest,Notes,Location,Last Modified
Agroecology Capital,Seed,Taking new meetings,Offering new term sheets,"Next-gen. proteins, biological solutions, plant health & nutrition, seed technology & genetics, next gen. farming, Precision Ag, Food safety",,,,"Palo Alto, CA, United States",2020-05-11T20:48:05.000Z
Gaingels,"Pre-Seed, Seed, Series A, Series B",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,Co-Invest,,"New York, NY, United States",2020-05-11T21:09:16.000Z
Data Community Fund,"Pre-Seed, Seed, Series A",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Focused on B2B companies with a clear data-tech differentiation (ML/AI/data sci),,,,,2020-05-11T21:11:17.000Z
DCVC,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,,,"San Francisco, CA, United States",2020-05-11T21:12:39.000Z
lool Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks, Looking at companies based in Israel or with Israeli founders located outside of Israel,,,,,2020-05-11T21:13:56.000Z
Working Capital Fund,"Seed, Series A",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Focused on labor rights in supply chains; transparency and traceability; sustainable supply chains; worker-centered tech  ,,Co-Invest,,"San Francisco, California, United States",2020-05-11T21:19:58.000Z
Urban Innovation Fund,"Pre-Seed, Seed",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,Co-Invest,,"San Francisco, California, United States",2020-05-11T21:20:01.000Z
Rooks Nest Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,Co-Invest,,"London, England, United Kingdom",2020-05-11T21:20:05.000Z
Nina Capital,"Seed, Series A",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,"Analytics, Artificial Intelligence, Health Care, Information Technology, Internet of Things, Machine Learning, Sensor, Software, Wearables",,,,"Barcelona, Catalonia, Spain",2020-05-11T21:20:08.000Z
Nationwide Ventures,"Series A, Series B",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Investing across insurtech/fintech,$1M-$5M,Co-Invest,,"Columbus, Ohio, United States",2020-05-11T21:20:10.000Z
Contrarian Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Energy tech and e-mobility focused fund,,,,"Vilnius, Vilniaus Apskritis, Lithuania",2020-05-11T21:20:22.000Z
Xfund,Seed,Taking new meetings,Offering new term sheets,,,,,"San Francisco, CA, United States",2020-05-12T00:06:09.000Z
Nauta Capital,"Seed, Series A",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,European B2B companies,,,,,2020-05-12T15:53:58.000Z
Security Leadership Capital,Seed,Taking meetings within network,Focusing on deals in network,,,,,,2020-05-12T15:54:55.000Z
Barn Investments,"Seed, Series A",Taking new meetings,Offering new term sheets,,,,Latam,,2020-05-12T15:55:49.000Z
Ripple Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets, B2B SaaS investor in companies in North America,,"Lead, Co-Invest",,"Toronto, Canada,Toronto, Ontario, Canada",2020-05-12T21:57:56.000Z
Grit Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,AI + Robotics,,,,"Menlo Park, CA, United States",2020-05-13T15:56:27.000Z
Acrobator Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,early stage tech companies in the CEE/CIS & EU region,,,,"Amsterdam, Holland, EU",2020-05-13T15:59:48.000Z
Notation Capital,Pre-Seed,Taking new meetings,Offering new term sheets,,,,,,2020-05-13T22:46:42.000Z
South Park Commons,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,"Industry/Sector agnostic, software",$100k - $1M,Lead,,"San Francisco, CA, United States",2020-05-15T16:45:19.000Z
Squandra Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new terms sheets in the next 2-4 weeks, Futuretech and Lifescience,,,,"Baltimore, Maryland, United States",2020-05-15T17:23:11.000Z
Digital Horizon,Seed,Taking new meetings,Offering new term sheets,"Artificial Intelligence, Blockchain, FinTech, Marketplace, Retail, SaaS, Software",,,,"London, England, United Kingdom",2020-05-15T17:24:57.000Z
Cubit Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,,,"Tel Aviv, Israel",2020-05-15T17:30:43.000Z
HARDS,Seed,Taking new meetings,Offering new term sheets,"Logistics, Energy, Smart Cities, IoT",,,,"Florianópolis, Santa Catarina, Brazil",2020-05-15T17:31:47.000Z
INCA Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks, Focused on early stage fintech in frontier markets in LatAm,,,,"Lima, Peru",2020-05-15T17:33:23.000Z
ValueStream Ventures,"Seed, Series A",Taking new meetings,Offering new term sheets,B2B,,,"post-Seed, A, and A2 rounds",New York,2020-05-15T17:34:52.000Z
Flybridge Capital,Seed,Taking new meetings,Offering new term sheets,"Seed-stage venture capital for ambitious founders leveraging the power of community with a focus on B2B SaaS, Applied AI, Future of Work/Urban Millennials",First institutional check,,"We believe community-driven companies harness the power of a highly engaged, connected, and passionate ecosystem of members to drive adoption, growth, and success.","Boston, Massachusetts, and New York, NY United States",2020-05-15T17:36:07.000Z
